證券代碼,年月日,收盤價(元),收盤價
Y9999 加權指數,2022/3/15,"16,926.06",
TX202203 台指 2022/03,2022/3/15,,"16,882"
TX202204 台指 2022/04,2022/3/15,,"16,825"
TX202205 台指 2022/05,2022/3/15,,"16,797"
TX202206 台指 2022/06,2022/3/15,,"16,773"
TX202209 台指 2022/09,2022/3/15,,"16,190"
TX202212 台指 2022/12,2022/3/15,,"16,098"
Y9999 加權指數,2022/3/14,"17,263.04",
TX202203 台指 2022/03,2022/3/14,,"17,239"
TX202204 台指 2022/04,2022/3/14,,"17,208"
TX202205 台指 2022/05,2022/3/14,,"17,166"
TX202206 台指 2022/06,2022/3/14,,"17,107"
TX202209 台指 2022/09,2022/3/14,,"16,546"
TX202212 台指 2022/12,2022/3/14,,"16,418"
Y9999 加權指數,2022/3/11,"17,264.74",
TX202203 台指 2022/03,2022/3/11,,"17,220"
TX202204 台指 2022/04,2022/3/11,,"17,194"
TX202205 台指 2022/05,2022/3/11,,"17,165"
TX202206 台指 2022/06,2022/3/11,,"17,082"
TX202209 台指 2022/09,2022/3/11,,"16,493"
TX202212 台指 2022/12,2022/3/11,,"16,412"
Y9999 加權指數,2022/3/10,"17,433.20",
TX202203 台指 2022/03,2022/3/10,,"17,437"
TX202204 台指 2022/04,2022/3/10,,"17,398"
TX202205 台指 2022/05,2022/3/10,,"17,364"
TX202206 台指 2022/06,2022/3/10,,"17,293"
TX202209 台指 2022/09,2022/3/10,,"16,712"
TX202212 台指 2022/12,2022/3/10,,"16,644"
Y9999 加權指數,2022/3/9,"17,015.36",
TX202203 台指 2022/03,2022/3/9,,"16,946"
TX202204 台指 2022/04,2022/3/9,,"16,913"
TX202205 台指 2022/05,2022/3/9,,"16,885"
TX202206 台指 2022/06,2022/3/9,,"16,842"
TX202209 台指 2022/09,2022/3/9,,"16,290"
TX202212 台指 2022/12,2022/3/9,,"16,197"
Y9999 加權指數,2022/3/8,"16,825.25",
TX202203 台指 2022/03,2022/3/8,,"16,702"
TX202204 台指 2022/04,2022/3/8,,"16,670"
TX202205 台指 2022/05,2022/3/8,,"16,673"
TX202206 台指 2022/06,2022/3/8,,"16,622"
TX202209 台指 2022/09,2022/3/8,,"16,078"
TX202212 台指 2022/12,2022/3/8,,"16,006"
Y9999 加權指數,2022/3/7,"17,178.69",
TX202203 台指 2022/03,2022/3/7,,"17,058"
TX202204 台指 2022/04,2022/3/7,,"17,036"
TX202205 台指 2022/05,2022/3/7,,"17,020"
TX202206 台指 2022/06,2022/3/7,,"16,978"
TX202209 台指 2022/09,2022/3/7,,"16,423"
TX202212 台指 2022/12,2022/3/7,,"16,380"
Y9999 加權指數,2022/3/4,"17,736.52",
TX202203 台指 2022/03,2022/3/4,,"17,666"
